,TSLA,QQQ,Y_d1_pr_change_diff,Y_d5_pr_change_diff,earnings flag,tweet count,tweet flag,compound,positive,negative,neutral,tesla flag,spacex flag
2019-11-15,70.43399810791016,201.3248291015625,0.0007244901421259442,0.03623213095488165,0.0,3.0,1,0.1625,0.106,0.08,0.8140000000000001,,
2019-11-18,69.99800109863281,201.48358154296875,-0.006978688752849904,0.003699617237399311,0.0,8.0,1,0.8911,0.198,0.092,0.7090000000000001,,
2019-11-19,71.90399932861328,201.78121948242188,0.025752091967268465,0.018325383250685112,0.0,8.0,1,0.9428,0.35,0.034,0.616,,
2019-11-20,70.44400024414062,200.57073974609372,-0.014305867110051218,0.014875467531534792,0.0,2.0,1,-0.8689,0.0,0.32899999999999996,0.6709999999999999,,
2019-11-21,70.96600341796875,200.1242828369141,0.009636118823268203,0.014345751700973741,0.0,4.0,1,0.4767,0.1,0.0,0.9,,
2019-11-22,66.60800170898439,200.25326538085938,-0.06205422248164172,-0.04899774579447003,0.0,13.0,1,0.9681,0.165,0.0,0.835,,
2019-11-25,67.26799774169922,202.6245880126953,-0.0019329579425784171,-0.044664186218081325,0.0,40.0,1,0.9975,0.20600000000000002,0.042,0.752,,
2019-11-26,65.78399658203125,203.0115509033203,-0.023970780553255744,-0.09121087711926501,0.0,5.0,1,0.9359,0.292,0.044000000000000004,0.665,,
2019-11-27,66.25800323486328,204.43035888671875,0.00021669677637570217,-0.07866622664218015,0.0,7.0,1,0.7207,0.16699999999999998,0.046,0.787,,
2019-11-29,65.98799896240234,203.49771118164062,0.00048713418574208855,-0.08700299338439943,0.0,1.0,1,0.0,0.0,0.0,1.0,,
2019-12-02,66.9739990234375,201.4141082763672,0.02518106192221503,-0.0003020787448260176,0.0,13.0,1,0.9199,0.151,0.08199999999999999,0.767,,
2019-12-03,67.23999786376953,199.8365478515625,0.011804095904996759,0.013343390288805046,0.0,5.0,1,-0.1882,0.035,0.049,0.917,,
2019-12-04,66.60600280761719,200.84857177734372,-0.014493096584968668,0.023149998243048975,0.0,1.0,1,0.0,0.0,0.0,1.0,,
2019-12-05,66.07399749755861,201.2454376220703,-0.009963293366427317,0.012802382998956197,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2019-12-06,67.17800140380861,203.3984832763672,0.0060099926238887935,0.018521231043081454,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2019-12-09,67.90599822998047,202.47576904296875,0.015373318969820193,0.008644801533075563,0.0,13.0,1,0.9946,0.23800000000000002,0.084,0.6779999999999999,,
2019-12-10,69.76799774169922,202.3070831298828,0.02825336748352114,0.02523388802226134,0.0,3.0,1,0.8944,0.268,0.0,0.732,,
2019-12-11,70.54000091552734,203.37864685058597,0.005768571909573472,0.04646678873709864,0.0,5.0,1,0.7955,0.161,0.098,0.741,,
2019-12-12,71.93599700927734,204.8966827392578,0.01232604745461563,0.07057546110463786,0.0,18.0,1,0.8588,0.109,0.054000000000000006,0.8370000000000001,,
2019-12-13,71.6780014038086,205.5713806152344,-0.0068793291248979704,0.056303256892147546,0.0,3.0,1,0.4215,0.08800000000000001,0.0,0.912,,
2019-12-16,76.30000305175781,207.6351318359375,0.05444374977419009,0.0981307423246558,0.0,8.0,1,0.9869,0.35,0.0,0.65,,
2019-12-17,75.7979965209961,207.7541961669922,-0.007152808162862678,0.059504319452204246,0.0,2.0,1,0.0258,0.078,0.0,0.922,,
2019-12-18,78.62999725341797,207.9129638671875,0.03659826541249389,0.09239169792733604,0.0,2.0,1,0.7088,0.495,0.0,0.505,,
2019-12-19,80.80799865722656,209.2127227783203,0.021447913416587916,0.10226740850932159,0.0,12.0,1,0.9317,0.17800000000000002,0.09300000000000001,0.7290000000000001,,
