,Compound,Positive,Negative,Neutral
275,-0.296,0.0,0.355,0.645
276,0.0,0.0,0.0,1.0
277,0.0,0.0,0.0,1.0
278,0.431,0.74,0.0,0.26
279,0.0,0.0,0.0,1.0
280,0.8126,0.422,0.1,0.478
281,-0.296,0.0,0.073,0.927
282,0.6124,0.217,0.0,0.783
283,0.0,0.0,0.0,1.0
284,-0.6808,0.0,0.535,0.465
285,0.5707,1.0,0.0,0.0
286,0.8777,0.457,0.0,0.543
287,0.0,0.0,0.0,1.0
288,-0.34,0.082,0.151,0.767
289,0.4581,0.21,0.076,0.714
290,-0.5574,0.0,0.397,0.603
291,0.0,0.0,0.0,1.0
292,0.5279,0.479,0.239,0.282
293,0.4588,0.25,0.0,0.75
294,0.296,0.306,0.0,0.694
295,0.0,0.0,0.0,1.0
296,0.2283,0.113,0.072,0.815
297,0.6249,0.313,0.0,0.687
298,0.0,0.0,0.0,1.0
299,0.0,0.0,0.0,0.0
300,0.6114,0.8,0.0,0.2
301,0.4019,0.574,0.0,0.426
302,0.296,0.099,0.0,0.901
303,0.7003,1.0,0.0,0.0
304,0.3182,0.365,0.0,0.635
305,0.6124,0.294,0.0,0.706
306,0.0,0.0,0.0,1.0
307,-0.4588,0.0,0.6,0.4
308,0.0,0.0,0.0,1.0
309,-0.3962,0.0,0.229,0.771
310,0.2144,0.316,0.0,0.684
311,0.0,0.0,0.0,1.0
312,0.0,0.0,0.0,1.0
313,0.9213,0.468,0.0,0.532
314,0.0,0.0,0.0,1.0
315,0.3102,0.185,0.0,0.815
316,0.2003,0.09,0.067,0.843
317,0.4215,0.189,0.0,0.811
318,0.0,0.0,0.0,1.0
319,0.7945,0.26,0.0,0.74
320,-0.2732,0.0,0.084,0.916
321,0.4019,1.0,0.0,0.0
322,0.0,0.0,0.0,1.0
323,0.5859,0.348,0.0,0.652
324,0.5411,0.777,0.0,0.223
325,0.5859,1.0,0.0,0.0
326,0.0,0.0,0.0,1.0
327,0.6369,0.208,0.0,0.792
328,0.3182,1.0,0.0,0.0
329,0.4215,1.0,0.0,0.0
330,0.4926,0.186,0.0,0.814
331,-0.3818,0.228,0.481,0.291
332,0.4019,1.0,0.0,0.0
333,0.3595,0.135,0.0,0.865
334,0.6249,0.389,0.0,0.611
335,-0.296,0.0,0.18,0.82
336,0.0,0.0,0.0,1.0
337,-0.3071,0.0,0.074,0.926
338,0.0,0.0,0.0,1.0
339,0.2953,0.168,0.122,0.71
340,0.2732,0.512,0.0,0.488
341,0.0,0.0,0.0,1.0
342,0.0,0.0,0.0,1.0
343,0.3182,1.0,0.0,0.0
344,0.5023,0.2,0.0,0.8
345,0.0,0.0,0.0,0.0
346,0.0,0.0,0.0,1.0
347,0.5994,0.38,0.0,0.62
348,0.1779,0.153,0.11,0.736
349,0.0,0.0,0.0,1.0
350,0.6369,0.129,0.0,0.871
351,0.0,0.0,0.0,1.0
352,0.3382,0.705,0.0,0.295
353,-0.1882,0.136,0.208,0.655
354,-0.0258,0.128,0.133,0.739
355,0.8966,0.33,0.0,0.67
356,0.296,0.306,0.0,0.694
357,0.0,0.0,0.0,1.0
358,0.0,0.0,0.0,1.0
359,0.5707,1.0,0.0,0.0
360,0.0,0.0,0.0,0.0
361,0.0,0.0,0.0,1.0
362,0.2023,0.265,0.0,0.735
363,0.2732,0.344,0.0,0.656
364,0.3182,1.0,0.0,0.0
365,0.8834,0.72,0.0,0.28
366,0.4404,0.244,0.0,0.756
367,-0.34,0.0,0.091,0.909
368,0.7003,0.298,0.0,0.702
369,0.5859,0.432,0.0,0.568
370,0.4215,0.359,0.0,0.641
