date,y_1d,pct 1d change QQQ,pct 1d change TSLA,y_5d,pct 5d change QQQ,pct 5d change TSLA,Predicted RF 1d all,Predicted RF 1d present,Predicted RF 5d present,Signal Predicted RF 1d all,Signal Predicted RF 1d present,Signal Predicted RF 5d present
2019-11-25,-0.0019329579425784167,0.011841617799969173,0.009908659857390756,-0.044664186218081325,0.005663024555096152,-0.03900116166298517,0.008047656730759871,0.014979334836915815,0.029852564992048556,1,1,1
2019-11-26,-0.023970780553255744,0.0019097528805376296,-0.022061027672718114,-0.091210877119265,0.0060973534804393825,-0.08511352363882563,-0.007037738948028156,-0.007857600408137773,-0.048171828402986595,-1,-1,-1
2019-11-27,0.00021669677637570214,0.006988804218702294,0.007205500995077996,-0.07866622664218015,0.019243181460621095,-0.059423045181559275,0.0032784291989886786,-0.005329444464917822,-0.058228250169039576,1,-1,-1
2019-11-29,0.00048713418574208855,-0.004562178094081104,-0.0040750439083390155,-0.08700299338439943,0.016856666751808413,-0.07014632663259102,0.00035416880257095173,-0.0009458755085885904,-0.051541948492001485,0,-1,-1
2019-12-02,0.02518106192221503,-0.010238950075529996,0.014942111846685036,-0.00030207874482601765,0.005796873740360864,0.005494794995534846,0.018210150377336407,0.016403104389448406,0.009602499101427709,1,1,1
2019-12-03,0.011804095904996759,-0.007832422655517535,0.003971673249479224,0.013343390288805046,-0.013759633953990491,-0.0004162436651854451,0.012795693881800034,0.012924129622990084,0.026311337482040422,1,1,1
2019-12-04,-0.01449309658496867,0.005064258448524095,-0.00942883813644435,0.02314999824304897,-0.010654463336456699,0.012495534906592498,0.007415186913086129,0.004398370596850009,0.007356896106687465,1,1,1
2019-12-05,-0.009963293366427315,0.0019759455654313474,-0.007987347800996414,0.012802382998956195,-0.015579492605661827,-0.00277710960670563,0.00015476282347537545,-0.0059431155296010025,0.012911950092807023,0,-1,1
2019-12-06,0.0060099926238887935,0.010698606039160063,0.016708598663048857,0.018521231043081454,-0.0004876118984201705,0.018033619144661284,0.0007221877467252714,-0.0010115489211671514,0.006152000979392376,1,-1,1
2019-12-09,0.01537331896982019,-0.004536485319532657,0.010836833650287536,0.008644801533075562,0.005271034763586702,0.013915836296662265,0.0007221877467252714,0.0013824498652285665,0.03645449150046158,1,1,1
2019-12-10,0.028253367483521138,-0.0008331165446772149,0.027420250938843926,0.02523388802226134,0.012362780006365037,0.03759666802862638,0.007557707038289767,-0.006133413872538128,-0.00550488686509765,1,-1,-1
2019-12-11,0.005768571909573472,0.005296718751143459,0.011065290660716709,0.046466788737098634,0.012596928376703342,0.05906371711380132,0.007430753368916201,-0.004618742324569874,0.04026394987743389,1,-1,1
2019-12-12,0.01232604745461563,0.007464086875290432,0.019790134329906284,0.07057546110463786,0.018143244191425545,0.0887187052960634,0.010512742452074644,0.0020993529996345037,0.003965767636656688,1,1,1
2019-12-13,-0.0068793291248979704,0.0032928687129365475,-0.003586460411961423,0.05630325689214755,0.010682957433437723,0.06698621432558527,-0.00031043609999211163,0.0020993529996345037,0.003965767636656688,0,1,1
2019-12-16,0.05444374977419009,0.01003909792562907,0.06448284769981916,0.0981307423246558,0.02548138385820309,0.12361212618285888,0.0018151049697276431,0.0006517407438728356,0.024443337111203174,1,1,1
2019-12-17,-0.007152808162862678,0.0005734305654438998,-0.0065793775974187785,0.05950431945220425,0.02692497441432784,0.08642929386653209,0.0005892665956395149,0.0005629167820402505,0.04821567914318707,1,1,1
2019-12-18,0.036598265412493884,0.0007642093547304274,0.03736247476722432,0.09239169792733604,0.02229495124890213,0.11468664917623839,0.028005398296058914,0.03027591024351918,0.0718443913635526,1,1,1
2019-12-19,0.02144791341658792,0.006251456796908084,0.027699370213496,0.1022674085093216,0.021064470060527585,0.12333187856984917,0.015442252215690599,0.008273836174881585,0.068029058483872,1,1,1
2019-12-20,-0.00019492948071819785,0.004031153168285062,0.0038362236875670863,0.10988419633044157,0.021815831950621867,0.13170002828106364,0.0016811132823823691,0.0008869993984025646,0.06496330087411292,1,1,1
2019-12-23,0.03096419020767005,0.0026412448544399503,0.03360543506210978,0.08454112722574393,0.01433172227000612,0.09887284949575004,0.018161612189756746,0.020357065907881697,0.05525784433650759,1,1,1
2019-12-24,0.013864475668462715,0.0005193950471347186,0.014383870715597435,0.10778441612849554,0.014276943741338366,0.12206135986983391,0.007978344484991488,0.008486598428833265,0.07214526286642223,1,1,1
2019-12-26,0.004556323868995849,0.008824045883474518,0.013380369752470367,0.07367554915767571,0.022445607533482015,0.09612115669115773,0.008253010375476929,0.00626824523258065,0.044015098499947954,1,1,1
2019-12-27,-0.00045767004646568576,-0.0008418976023109037,-0.0012995676487765895,0.049953442395634484,0.015238095932707862,0.06519153832834235,0.0014754098938857877,0.008943466555138804,0.06691169404607748,1,1,1
2019-12-30,-0.029878850012414637,-0.006554001057766712,-0.03643285107018135,0.01792639306455035,0.004534790773600417,0.022461183838150545,-0.021063250840815603,-0.02022182706116471,0.008116243084796462,-1,-1,1
2019-12-31,0.006868364837027796,0.001884925534739068,0.008753290371766864,-0.005900050114797883,0.0037770431011674432,-0.00212300701363044,0.005224066377578144,0.01758708357888263,0.03261339448941029,1,1,1
2020-01-02,0.01182091525643125,0.0166972591091461,0.028518174365577353,-0.008226289817311994,0.020007581591721557,0.011781291774409564,0.011537282553516558,0.004684986779674771,0.0007905380285660446,1,1,1
2020-01-03,0.038793094923131884,-0.00915990377724385,0.029633191145888027,0.026184199803823915,0.0018242669931565203,0.028008466796980436,0.02568316269536289,0.025196561312594776,0.008093088918623854,1,1,1
2020-01-06,0.012811458487162142,0.00644320091411954,0.019254659401281682,0.040037076577369435,0.009128805147510466,0.0491658817248799,0.0007221877467252714,0.01402920054853314,0.04230606090173839,1,1,1
2020-01-07,0.038939772628946316,-0.00013924715130653187,0.03880052547763979,0.11543781032931501,0.015644824087476916,0.1310826344167919,0.01114314108222227,0.03182079139996986,0.027098795466222667,1,1,1
2020-01-08,0.04168851213711222,0.0075163349830296156,0.04920484712014184,0.15508608916010114,0.021353575374877476,0.1764396645349786,0.027395004632578303,0.02704026851524434,0.10661994562767409,1,1,1
2020-01-09,-0.03041858863127922,0.008473576731181875,-0.021945011900097344,0.1056266327068942,0.013092229803000288,0.1187188625098945,-0.01963686185166258,-0.01958693054429918,0.08157174939288789,-1,-1,1
2020-01-10,-0.004070030684286241,-0.0025573065746968826,-0.006627337258983124,0.05947790241498808,0.019843107111981784,0.07932100952696985,-0.004458636394495171,0.0020993529996345037,0.003965767636656688,-1,1,1
2020-01-13,0.08615207983971862,0.011536962688393215,0.09768904252811184,0.13737297175188878,0.025004687845047835,0.16237765959693662,0.05805916373458137,0.05764379733507682,0.09714815616849672,1,1,1
2020-01-14,0.028820395105369486,-0.003937573889413737,0.024882821215955753,0.12569344323726714,0.021110842925708084,0.14680428616297525,0.021306267760488794,0.013788315774031975,0.0857999095644053,1,1,1
2020-01-15,-0.03651093065935362,0.0004088829685462425,-0.03610204769080738,0.03965445909716436,0.013907489426049358,0.05356194852321372,0.006179523545411372,0.0016863550687626595,-0.010503721899479462,1,1,-1
2020-01-16,-0.019245972206729408,0.009583494570714501,-0.00966247763601491,0.05176932065326123,0.015023387785823461,0.06679270843908469,-0.010849629134847494,-0.014246296513060872,0.04107867741536458,-1,-1,1
2020-01-17,-0.010771642761837952,0.004948748604924003,-0.005822894156913949,0.044994864868276085,0.022661742959053877,0.06765660782732996,-0.0022669167582109687,-0.0013613049955802676,0.031542408572826544,-1,-1,1
2020-01-21,0.0723379769101854,-0.00044763335503261725,0.07189034355515278,0.03201841177445175,0.01054534155157949,0.04256375332603124,0.020332724168439925,-0.008583949252839757,-0.03746006819712364,1,-1,-1
2020-01-22,0.03822024379763112,0.0026423295056234863,0.0408625733032546,0.041598264846345316,0.01722091785022406,0.05881918269656938,0.02929024444316389,0.00021534227084918923,0.01499142778158418,1,0,1
2020-01-23,0.0014189207373158652,0.003216235050024885,0.00463515578734075,0.0834925926479031,0.020075447942536684,0.10356804059043978,0.009965835995532815,-0.003982410445865465,-0.04452995120985666,1,-1,-1
2020-01-24,-0.004482290879326278,-0.008415345635098936,-0.012897636514425215,0.09807343157381232,0.0018895573409889455,0.09996298891480127,0.010794343484435228,0.025195116601492408,0.12150693031200313,1,1,1
2020-01-27,0.008616284235124949,-0.020655523708118295,-0.012039239472993346,0.1167219627727395,-0.0236367723244425,0.093085190448297,0.005304573575410647,0.006716482694449647,0.08763222832459201,1,1,1
2020-01-28,0.0005536133543397881,0.015359804048355574,0.015913417402695362,0.04419747372241789,-0.008196059942103262,0.03600141378031463,0.0011187860532737076,0.015486270265208683,0.03517004443988859,1,1,1
2020-01-29,0.023228788326458586,0.001625690961968962,0.024854479288427545,0.029269791459564543,-0.009201708799665864,0.02006808265989868,0.014868358895650179,0.016195158574223677,0.01990342122950198,1,1,1
2020-01-30,0.099400573679441,0.0035616521566290693,0.10296222583607006,0.1287661932235752,-0.008860567311900991,0.1199056259116742,0.0626419653529602,0.01395858481231085,0.04450472323553318,1,1,1
2020-01-31,0.0310887023275791,-0.015858011400737726,0.015230690926841373,0.16811818740003648,-0.016299891319357607,0.15181829608067887,0.02237962124683711,0.0010599518669539335,0.00047300276047183685,1,1,0
2020-02-03,0.18383938310295989,0.015109245811902872,0.19894862891486276,0.3781754667271884,0.019623941933873956,0.39779940866106234,0.1208899435402094,0.127014204195537,0.28943856386821976,1,1,1
2020-02-04,0.11436766466465766,0.022888762024294573,0.13725642668895222,0.5375712305838183,0.027184518765331456,0.5647557493491497,0.007985610783472064,0.016152918147963054,0.027915821503540255,1,1,1
2020-02-05,-0.17505554639415655,0.00329715529450314,-0.1717583910996534,0.23566706301206494,0.02889863442903673,0.2645656974411017,0.011863515548969653,0.005841629546074154,0.07303766277423127,1,1,1
2020-02-06,0.010777297312728695,0.008632019125931922,0.019409316438660618,0.13467379594894124,0.03409701326262282,0.16877080921156407,0.0088394721395172,0.006313444755629783,0.13613142078729992,1,1,1
2020-02-07,0.003112464006258086,-0.004300838714881627,-0.0011883747086235408,0.10362775084666097,0.04624082776769689,0.14986857861435787,0.004837404600087294,0.0036186620512958824,-0.00032170391337937203,1,1,0
2020-02-10,0.018940984016063037,0.012085513104874934,0.031026497120937968,-0.05430387090273714,0.04312436259569585,-0.011179508307041286,0.013923405239704817,0.021239263800304112,-0.009313170680275913,1,1,-1
2020-02-11,0.003846963532968983,0.00017239642206656747,0.004019359955035551,-0.1469849331830293,0.01995860374776326,-0.12702632943526604,0.006517774339620829,0.004358364055741688,-0.08561980153427247,1,1,-1
2020-02-12,-0.018896838946332428,0.0097410339052455,-0.009155805041086928,0.017848679555164004,0.026509493876225365,0.04435817343138937,-0.014229502487591462,-0.00879096149138479,0.023050580448144273,-1,-1,1
2020-02-13,0.04912438699008381,-0.001280606579121213,0.0478437804109626,0.057067365759918776,0.016421172067547785,0.07348853782746656,0.035461090375254946,0.028805650266617123,0.03451362821026339,1,1,1
2020-02-14,-0.00780149522011364,0.00286364489307922,-0.004937850327034421,0.045723970352922194,0.023734759453383658,0.06945872980630585,0.00051369341832109,0.004210914587161335,-0.006496160928914366,1,1,-1
2020-02-18,0.07257622957191745,0.000383510763742434,0.07295974033565988,0.1010569985230505,0.011898065422391468,0.11295506394544197,0.05013088481122164,0.054245914489781985,0.07034913657330888,1,1,1
2020-02-19,0.059170300942483774,0.00958553175832555,0.06875583270080932,0.16329386137187418,0.021421557042829997,0.18471541841470418,0.04098360140020584,0.08686867170630862,0.13102031470542383,1,1,1
2020-02-20,-0.010347534692277005,-0.009283549615354714,-0.01963108430763172,0.17001361783299584,0.0021769001761604567,0.1721905180091563,-0.004725924521278278,-0.010431373220747702,0.10400405964274329,-1,-1,1
2020-02-21,0.0209772538186046,-0.019209466283593546,0.0017677875350110561,0.13646075408962455,-0.015814028167362215,0.12064672592226233,0.01893996754083213,0.020869300448152953,0.12424158049921709,1,1,1
2020-02-24,-0.03603155114963075,-0.03856335212683437,-0.07459490327646512,0.09866788628996748,-0.05646947472759556,0.04219841156237192,0.010378163859099558,0.010606975326511846,-0.005172630095551064,1,1,-1
2020-02-25,-0.013441855160274295,-0.0271918844811746,-0.040633739641448896,0.014339338894677534,-0.08247772744276383,-0.06813838854808629,-0.007957387150714236,-0.010594543028711328,0.019189720219679983,-1,-1,1
2020-02-26,-0.031544453053221184,0.005153982476431285,-0.026390470576789893,-0.0645924759400095,-0.08650516745667869,-0.15109764339668819,0.013524711800544598,-0.013026921327151032,-0.046449472029327886,1,-1,-1
